date,Belmullet,Birr,Cahirciveen,Casement,Claremorris,Clones,Cork airport,Dublin airport,Galway,Kilkenny,Malin head,Mullingar,Roches Point,Rosslare,Shannon airport
1964-04,59.5,73.5,103.4,49.5,74.1,64.4,82.9,62.3,..,74.1,64.9,60.9,66.5,54.6,62.1
1964-05,84.4,70.4,147.4,42.8,107.2,70,106.7,45.4,..,60.2,55.2,76.5,68.4,43,82
1964-06,71.9,52,112.2,46.7,137.5,84.2,89.8,51,..,57.2,101.1,76.7,80,90.9,106
1964-07,74.5,72.9,97.8,31.5,56.3,45.2,71.5,47.4,..,59.3,76.1,51.6,58.8,45,69.5
1964-08,86,101.2,108.6,78.7,139,81.6,134.6,81.3,..,68.4,100.4,101.5,131.9,73.1,99.4
1964-09,144.5,48.1,102.8,44.5,110.2,62.6,75.6,51.7,..,62.1,132.4,56.3,49.1,50.1,68.5
1964-10,120.3,76.3,148.1,72.4,147.3,166.6,80.2,62.3,..,56.6,115.3,122.2,56.3,38.3,96.4
1964-11,99.1,57.7,112.4,26.9,97.7,71.1,73.9,26.2,..,39,94.7,56.8,58.8,50.2,74.8
1964-12,146.8,135.6,182.4,131.4,130.9,108,152.1,111.8,..,121.6,147.9,162.6,110.7,159.6,148.7
1965-01,166.6,113.2,181.1,96.5,148.2,147.5,141.6,97.3,..,99.4,107.1,153.7,97.5,97.6,127.7
1965-02,17.9,7.9,2.3,7.6,12.5,6.3,5.9,4.7,..,5.4,15.9,10.1,4.9,2.8,4.7
1965-03,84.7,89.6,106.2,56.2,87.5,75.4,132.6,54.6,..,82.9,87.5,87.2,99.4,73,65.8
1965-04,84.7,68.1,89.8,49.2,81.2,84.3,98.4,45.4,..,56.1,73.6,77.8,68.8,42.2,95.8
1965-05,63,90.9,84.3,50,77.1,86.6,100.5,51.9,..,76.3,46.7,98.8,94.8,59,94.3
1965-06,106.8,78.7,134,72.3,114.6,90,128.8,72.9,..,83.9,105.3,85.6,114.2,114.3,99.2
1965-07,35.3,94.4,64,78.4,62.5,93.5,98.3,79.2,..,80.5,64,96.7,88.5,53.1,69.3
1965-08,108.3,88.3,98.8,64.6,90.3,107.6,79,55.4,..,76.9,110,81.6,54.3,56.7,87.2
1965-09,91.8,68.2,156.9,55.1,112,72,94.1,67.7,..,78.1,98.8,63.7,75.2,98.8,49.9
1965-10,94.4,29.2,63.6,38,72.7,74.6,35.4,41.4,..,56.3,112.6,66.2,25.1,39,26.9
1965-11,126.7,87.5,155.3,170.4,127.1,116.8,206.9,182.3,..,119.8,97.9,205.1,170.5,174.2,87.9
1965-12,136,113.4,222.8,78.3,130,135.1,196.2,97.1,..,136.1,113.8,140.5,149,150,159.4
1966-01,77.6,75.7,175.5,58.8,101.2,74.5,209.8,94.6,..,92.4,54.1,74.7,131.3,109.7,73.1
1966-02,114.5,72.7,240.9,96.7,132.3,125.3,299.9,114.5,..,105.6,104.5,114.4,179.1,136.3,93.7
1966-03,84.8,40.7,65.6,31.5,77.8,64.6,37.6,40.2,..,30.7,100.2,53.4,29.6,30.9,47.8
1966-04,96.6,99.3,149.5,125.4,118.8,113.8,235.6,151.8,..,115.9,56.6,117,180,184.6,116.5
1966-05,95,77.8,127,58.3,97.4,80.9,80.9,52.3,..,68.4,65.7,88.2,72.5,70,89.9
1966-06,90.8,113.3,91.5,98.6,99,125.9,102.2,119.5,..,88.1,88.9,102.6,64.4,84.8,133.3
1966-07,73.7,44.4,47.4,43.7,84.7,41.6,21.3,37.1,..,52.6,72,54.4,19.8,52.7,39.7
1966-08,70.7,98.9,83.4,47,101.1,83,90,56.5,..,63,55.1,58.4,93.5,69,96.1
1966-09,102.8,66.5,70.2,69,73,75,82.6,61.3,..,61.5,86.3,79.7,77.6,58.3,59.2
1966-10,76.7,139.9,185.9,143,82.8,113.8,232.2,132.9,..,150.9,77.9,125.4,163.7,218.6,78.1
1966-11,129.3,42.2,69.4,33.9,56.6,92.7,37.6,43.3,..,26,94.8,48.8,43.5,91.4,50.2
1966-12,199.2,88.1,101,105.8,142.1,176,84.4,115.1,..,72.5,173.4,134.4,58.9,53.7,100
1967-01,95.3,56.4,125.8,30.5,55.9,56,121.4,48.5,..,61,79.3,61,66.8,54.8,57.4
1967-02,107,91.9,146.9,109.4,100.1,66.6,136.2,83.8,..,115.3,82.2,94.4,101.6,102,119.1
1967-03,85.2,40.3,67.7,35.8,88.2,83,34.1,26.4,..,29.4,104.2,49.2,24,29,60.7
1967-04,53.2,33,38,28.6,52.3,50.4,18.1,33.9,..,26.4,43.6,39,20.4,26.9,29.6
1967-05,86.4,115.4,136,148.6,132.5,146.4,134.7,129.4,..,134.1,66.7,147.1,107.8,146.8,86
1967-06,49.1,20.4,28.6,13.2,35.4,33.5,35.9,11.4,..,15.5,50.7,28.6,25,18.3,35.4
1967-07,80.1,35.4,85.9,30.1,78.8,77.2,99.3,83.7,..,50.2,69,113.2,98.8,80.2,44.6
1967-08,114.3,70.4,145.2,64.4,94.4,84.5,101.9,64.3,..,50.6,110.9,84.7,80.6,46.6,68.9
1967-09,107.7,92.5,135.6,96.7,135.4,121.1,148,115.5,..,127.8,143,112.9,101.6,134.5,94.4
1967-10,188.7,140.7,196.5,125.9,199.5,135.3,151.1,94.4,..,127,223.6,157.1,107.7,151.1,167.9
1967-11,93.9,68.5,137.9,46.4,75.3,55.9,64.2,45.7,..,60.4,143.2,67.7,62.8,86.7,71.5
1967-12,82.8,50.6,99.9,36.3,88.2,82.7,65,45.5,..,30.9,124.8,68.4,55.2,34.3,42.6
1968-01,127.3,109.9,137.3,68,133.4,117.7,96.5,96.1,..,98.7,160.5,135.6,76.4,104.4,113.6
1968-02,62.4,14.1,78.3,28.6,36.1,26,64.3,15.9,..,21.8,62.4,17.4,33.6,32.2,24.5
1968-03,106,62.3,80.1,61.4,81.9,60.9,70.8,41.5,..,62,104.9,71.6,60.2,41.5,73.7
1968-04,51,52.1,131.1,44.6,51.7,56.2,92.6,58.6,..,71.5,57.7,69.5,60.5,69.3,39.2
1968-05,54.5,73.8,65.9,43.2,84.6,80.2,79.7,51.8,..,44.7,73.1,57,46,49.4,43
1968-06,61.2,57.3,78.8,35.5,105.1,99.7,59.8,51.4,..,42.9,59.9,73.4,44.2,32.1,49.6
1968-07,38.7,24.6,32.1,13.3,22.8,17.9,55.9,15.9,..,21.2,25,22.2,32.1,53.6,32.7
1968-08,68.3,85.1,106.1,60.9,109.3,94.1,74.6,106.6,..,57.7,47.2,88.5,63.8,46.1,76.2
1968-09,109.3,109.9,180,83.7,141.2,116,156.9,103.5,..,106.6,97.3,119,129.5,115.8,141.7
1968-10,151.5,82,137.5,58.3,189.9,121,152.6,59.8,..,75.6,149.3,91.5,100.8,91.1,93.2
1968-11,109.8,103.3,226.7,99.8,147.8,87.2,186.8,78.8,..,95.9,65.4,112.1,125.5,97.2,90
1968-12,107,126.4,207.3,112.7,139.8,68,174.2,109.1,..,177.8,72.2,117.2,156,126.7,163.9
1969-01,129,104.4,230.3,82.2,151.7,149.1,275,105.4,..,144.8,139.3,133.3,201.2,157.7,141.8
1969-02,85.4,32.7,51,63.3,64.3,62.4,54.4,41.8,..,26.3,106.3,48.1,51,47.8,43.9
1969-03,42.4,41.3,30.9,26.8,39.5,26.4,79.2,46.9,..,34.5,45.1,33.8,75.2,70.2,44.4
1969-04,51.5,57.8,66.4,54.3,72.3,68.5,71.2,62.3,..,56.5,50.2,75,52,35.6,61.5
1969-05,40.6,46.8,61.8,115.3,57.2,88.5,117.6,111.2,..,81.6,52,90.4,91.5,79.3,61.5
1969-06,77.7,53.9,87.1,43.1,82.2,90.4,84.5,46.4,..,40.3,62.3,58,55.5,46.9,75.4
1969-07,33.9,32,78.9,37,30.1,25.7,28.6,43.8,..,35,47.7,45.8,28.9,33.1,31.1
1969-08,61.2,31.3,98.1,55.2,64.4,40.9,38.4,34.1,..,31.9,66.3,32.6,25,35.4,30.6
1969-09,58.3,25.8,58.4,46.7,64.8,36.9,51.3,44.9,..,25.3,76.9,29.2,34.6,21.2,49.6
1969-10,116,34.1,74.2,13.9,91.1,65.5,38.7,11.1,..,21.8,91.1,34.6,23.6,15.2,52.5
1969-11,166.3,82.7,148.2,82.8,107.2,91,113.1,90,..,94.1,195.5,75.4,79.3,127,115.4
1969-12,130.1,77.1,146.3,41.7,130.5,96,101.8,63.5,..,89.4,118.8,91.5,93.1,89.7,116.5
1970-01,80.8,47.3,194.6,55.7,79.1,69.3,219.1,62.5,..,119.3,59.8,83,132.7,156.1,47
1970-02,157.7,88.6,155,64.7,153.3,143.6,93.6,60.4,..,103.8,143.7,105.1,71.3,71.5,136.6
1970-03,76.9,37.7,58,40.2,56.5,67.5,35.4,32.5,..,28,76.1,47,17.7,23.3,45.9
1970-04,75.6,98.5,133.5,87.1,101.1,73.3,71.8,85.3,..,60.8,81.2,87.3,62.9,73.5,93.2
1970-05,31.5,30.2,54.8,16.8,40.9,50.6,33.6,13.2,..,11.9,50.5,30.8,16.5,14,35.4
1970-06,74.2,40.9,107.6,22.1,49.2,66.1,56.8,31.6,..,25.3,54.2,67.7,33.2,29,46.2
1970-07,71.1,75.9,87.7,52,71.5,95,86.3,68.2,..,66.2,105.7,71.6,75.1,74.7,98.8
1970-08,58.6,51.7,51.7,62.9,89,108.8,48.3,68.3,..,58.8,83.3,72.9,42.4,65.3,52.6
1970-09,196.7,91.8,163.6,43.4,163.7,90.9,111,53.8,..,80,106.4,101.4,97.2,75.5,94.2
1970-10,142.8,70.7,77,59.7,120.1,99.6,36.3,59.2,..,26.3,163.6,106.6,28.2,23,75.3
1970-11,140.8,134.7,207.9,116.1,132.9,117,216.3,128,..,145.7,147.2,134.2,174.7,170.3,170.2
1970-12,77.4,34.1,96.2,49.2,70.7,30.3,39,50.6,..,41.2,58.5,45.6,32.4,50.1,46.4
1971-01,117.7,43.3,181.3,30.2,110.2,56.1,162.6,39.4,..,65.1,81.6,61.4,103.8,83.4,67.7
1971-02,81.9,46.6,64.2,30.5,74.4,64.8,34.2,39.7,..,34.2,94.9,50.8,26.2,19,65
1971-03,47.1,60.7,61,65.6,55.8,39.1,47.2,78.8,..,55.1,65.1,42.4,39.4,70.7,63.6
1971-04,28.7,40.1,54.1,43.3,27.5,44.5,56.1,52.4,..,32.9,76.2,41.7,58.3,41.8,29.7
1971-05,43.1,60,61.5,29.7,52.1,40.6,43.6,34,..,40.5,95,43.1,37.2,32.5,24.3
1971-06,92.4,51.7,76.4,75.3,81.3,90.4,66.5,71.8,..,45.5,88.6,82.4,56.9,69.3,68.2
1971-07,41.7,41.4,44.5,57.3,57.6,44.8,84.8,62.8,..,79.7,46.1,24.3,64.1,82.8,39.1
1971-08,116.7,60.1,82.2,69.4,98.6,102.6,121.8,66.9,..,110.8,131.1,79.2,130.3,84.2,70.4
1971-09,62.8,29.6,44.1,27.2,59.8,37.9,56.6,27,..,33.3,24.1,43.3,67.9,34.6,57.3
1971-10,95.3,69.3,152.1,43.4,97.1,38.8,128.5,34.4,..,61.5,90.7,46.8,118.9,78.1,97
1971-11,149.1,70.3,112.2,66.9,130.2,91.2,55.6,48,..,64.6,143.5,83.3,49.9,57.5,88.2
1971-12,47.3,44,57.8,42.1,41.4,23.8,71.4,36.4,..,41.2,53,48.4,48.2,82.5,38.6
1972-01,66.9,75.2,202.1,89.9,103.9,94.5,171.3,110.6,..,127.3,113.7,102.9,109.6,127.9,103.8
1972-02,75,50.8,164,70.5,100.7,62,190.5,59.7,..,96.9,38.7,64.6,142.1,117.4,59.4
1972-03,86.7,63.5,106.8,54.3,82.5,87.8,100.3,50.1,..,51,97.2,67.7,71.3,76.4,85.5
1972-04,98.5,62.2,91.3,60.7,92,81.3,50.4,49.2,..,63.2,104.3,93.8,41.6,60.9,72.5
1972-05,96.6,88.6,137.4,59,147.6,90.4,145.6,66.7,..,105.5,86.3,112,92.2,78.9,84.6
1972-06,58.6,53.8,85.6,65.8,47,90,34.2,58.6,..,76.3,88.6,66.4,30.7,54.4,65.8
1972-07,50.8,64.2,84.9,67.8,42.3,94.6,40.2,41.1,..,50.2,44.8,66.1,33.8,86.7,57.4
1972-08,52.4,48.6,80.6,17.2,60.8,35.6,44.2,24,..,41.5,85.7,36.8,55.7,53.7,57.7
1972-09,38.1,10.8,29.7,7.1,13.1,14.9,11.2,7.5,..,1.4,25.2,8.6,8.1,10,13.2
1972-10,65.8,44.1,124,37.3,53.9,40.2,84.8,40.8,..,81.5,47.1,53.2,54.2,67.5,43.8
1972-11,109.7,99.9,175.5,75.6,137.8,105.8,121.9,78.2,..,116.6,140.1,109.5,105,101.1,145.3
1972-12,159.2,77.6,218.7,71.2,165,82.6,175.9,82.6,..,115.9,91.8,88.4,121.3,115.2,105.8
1973-01,123,55.7,151.2,40.2,123.3,89,129.6,52.2,..,74.7,99.8,66.6,74.4,73,70.7
1973-02,100.5,39.7,133.8,32.8,65.8,68.5,84.3,32.5,..,46.8,82.6,43.7,83.6,39.9,92.8
1973-03,57.9,23.1,63.9,18.7,51,40,38.8,11.1,..,23.6,41,29,29.3,26.4,30.5
1973-04,46.5,40.8,39.3,37.9,50.3,47.1,34,48.1,..,31.2,64.2,48.8,25.5,39.1,40.8
1973-05,85.7,66.2,93.6,74.8,87.3,65.2,182.5,70.9,..,86.2,75.2,80.9,143.1,101.7,104.3
1973-06,54.2,15,47.7,18.1,58,25.6,25.1,20.2,..,16.7,42.3,23,14.3,8.8,17.3
1973-07,58.7,99.2,77.2,93.6,58.6,60,63.8,72.8,..,77.4,88.5,86.4,30.2,118.2,65.6
1973-08,119.6,87.8,115.3,83.7,140.4,99.4,74.6,108.9,..,50.2,101,98.5,82.9,114.1,110.5
1973-09,97.2,79.3,147.8,74.6,81.3,78.7,156.3,76.2,..,100.7,121.6,103.2,157.2,122.8,116.2
1973-10,68.4,64.3,60.6,40.2,63.4,61.6,107.3,59.2,..,42.5,66,51.3,56.8,56,50.8
1973-11,147.8,105,162.8,64.7,134.2,119.4,101.7,60.8,..,84.3,123.2,98.6,75.7,60.7,143.8
1973-12,130.2,76.3,143.1,65.7,108.5,72.1,118.4,72.7,..,124.5,135.4,67.9,111,118.9,98.5
1974-01,205.4,143.4,318.6,95.8,205.2,117.9,340.9,81.4,..,194.7,130.9,135.1,219.2,202,168.2
1974-02,112.9,56.8,177.7,51.4,113.9,91.2,134.4,50.9,..,99.4,77.3,61.9,107.6,104.5,102.4
1974-03,58.3,28.7,76.3,21.6,49.2,55.1,40.9,31.7,..,40.6,50.1,29.5,37.2,49.5,40.7
1974-04,19.5,29.8,59.8,37.8,19.5,12.9,56.9,43.4,..,22.8,9.9,39.7,33.8,34.6,21.4
1974-05,56.8,59.8,152.4,55.6,58.5,77.1,151.9,87.6,..,107.2,56,72,93.2,76.9,52
1974-06,70.1,46.6,38.3,38.1,53.3,32.4,21.3,39.5,..,24.6,42.8,39.8,16.6,23.4,37.1
1974-07,84,98.1,97.6,105.9,96.3,109.9,45.1,99.7,..,62.2,87.9,114,43,44.4,82.1
1974-08,112.2,87.5,168.7,30.5,98.2,70.9,118.9,30.2,..,91.1,82.2,80.5,117.8,103.7,139
1974-09,172.6,121.5,225.7,99.9,148.6,135.5,187.4,116,..,111.7,123.3,129.6,160.8,157.8,170.1
1974-10,82.4,50.1,75.7,34.9,47.1,53.7,31.5,26.6,..,35.9,63,53.9,24.8,36.3,53.7
1974-11,127.8,59.1,109.5,51.8,113.9,90.3,80.3,57.7,..,76.3,130,94.3,66.6,68.5,97.3
1974-12,118.4,77.3,93.3,40.7,118,100.8,68.6,37.9,..,60.4,132.8,85.9,46.1,41.2,88.5
1975-01,210.7,132.4,209.9,121.9,193.7,131.1,162.8,82.6,..,134.9,155.4,154.2,128,116.5,125.5
1975-02,28.7,36,80.4,20,38.2,30.5,56.2,26.2,..,39.8,17.3,31.7,48.6,47.9,41.7
1975-03,42.7,26.7,74.4,31.1,52.2,44.4,34,43.3,..,39.1,60,29.8,28.1,42.2,43.9
1975-04,60.9,38.6,97.2,48.2,60.6,49.7,42.6,42.8,..,60.2,62.5,53.2,31.1,53,58
1975-05,14.9,29.7,29.4,44.3,17.6,21.3,32.3,43.4,..,34.1,15.7,32,13.1,9.5,28.6
1975-06,29.4,7.1,18,5.6,21.8,25.6,20.2,14.9,..,12.8,29.3,18.9,16.4,11.4,15.7
1975-07,87.8,75.7,80.9,36.4,115.6,59.7,186.3,27.8,..,54.1,85.1,55.2,84.9,42.8,75.7
1975-08,70.4,27.8,34.7,30,63.8,49.2,42.4,35.9,..,30.5,58.3,34.4,38.1,72.7,37.6
1975-09,139.8,122.6,160.2,102.5,137.4,88.3,139.7,124.3,..,139.3,122,122.9,105.6,72.6,145
1975-10,104.8,83.2,213.9,47.3,165.7,67.7,204.7,55.1,..,77.4,91.8,81.6,125.9,58.5,81.7
1975-11,95.8,37.3,126.9,47.6,105.4,49.1,56.6,54.3,..,42.7,101.2,73.9,42.7,84.5,83.9
1975-12,62,52.4,74.2,38.2,87.1,39.6,31.1,33.1,..,45.1,65.3,50.5,22.8,36.3,73.5
1976-01,133.2,70.4,96.3,65.4,156.4,117.8,90.3,66.1,..,65.9,144.6,89.6,63.1,58.2,126
1976-02,51.8,42.7,81.7,37,49.1,43.4,67,29.3,..,35.7,48.7,52.9,40.8,37.1,57.9
1976-03,114,56.2,189.6,45.8,104.4,63.8,111,65.8,..,67.5,65.7,71.4,84.8,73.2,59
1976-04,30.2,25.4,34.4,22.5,37,26.5,20.7,17.7,..,18.9,21.3,27.5,15.1,22.7,21.4
1976-05,116.3,70,125.6,70,102,102.6,113.1,47.7,..,77.8,114.6,122,110.5,65.4,65.3
1976-06,59.2,29.5,111.5,20.7,63.6,60.2,51.6,22.5,..,32.2,54.2,35.6,46,18.3,34.4
1976-07,59.6,54.4,73.7,52.4,75.3,54,92.8,82.8,..,44.3,93,47.9,84.1,40.7,59.5
1976-08,12,6.2,16.4,4.2,6.9,10,14,6.6,..,2.4,19.4,7.7,23.7,3.1,13.5
1976-09,63.8,79,171.3,138.1,78.3,109.8,106.9,144.3,..,95.6,67,107.3,81.7,84,93.1
1976-10,102.6,130.9,187.6,118.9,132.4,128.4,209.8,156.7,..,137.1,136.5,139.2,168.7,196.4,136.3
1976-11,136.2,62.2,169.6,35.5,99.4,57.9,104.2,39.1,..,53.9,123.9,65.5,93.4,90.5,85.8
1976-12,116.3,56.4,189.3,52,133.1,73.8,147.5,48,..,53.6,93.3,52.7,106.2,83.5,111.6
1977-01,109.6,50.6,173.1,66.7,91.2,72.7,162.1,57.8,..,66.2,68.2,75.4,123.5,97.3,50.5
1977-02,82.9,114.9,191.6,110.7,109.7,152.9,237.1,124.4,..,149.8,151.1,137.3,205.9,130.3,102.6
1977-03,135.1,60.3,206.8,59,123,72.8,149.9,57.3,..,99.5,64.4,94.1,100.7,96.2,67.9
